query_name,mesh_id,mesh_name,description,tree_numbers
acne,68054506.0,Chloracne,"ACNE-like skin eruptions caused by exposure to CHLORINE-containing compounds. Exposure can be by inhalation, ingestion, or through the skin. Chloracne is often seen in people who have occupational contact with chlorinated pesticides, wood preservatives, and sealants.",['C17.800.030.575']
acquired immunodeficiency syndrome,68020943.0,"AIDS Arteritis, Central Nervous System",Inflammation of ARTERIES in the CENTRAL NERVOUS SYSTEM that occurs in patients with ACQUIRED IMMUNODEFICIENCY SYNDROME or AIDS-RELATED OPPORTUNISTIC INFECTIONS.,"['C01.221.250.875.048', 'C01.221.812.640.400.048', 'C01.778.640.400.048', 'C01.925.782.815.616.400.048', 'C01.925.813.400.048', 'C10.114.875.175', 'C10.228.140.300.850.125', 'C12.100.937.640.400.048', 'C14.907.253.946.175', 'C14.907.940.090.170', 'C14.907.940.907.175', 'C20.673.480.048']"
acute skin abscess,,Acute skin abscess,Medical condition: Acute skin abscess,[]
aggressive periodontitis,68010520.0,Aggressive Periodontitis,"Inflammation and loss of PERIODONTIUM that is characterized by rapid attachment loss and bone destruction in the presence of little local factors such as DENTAL PLAQUE and DENTAL CALCULUS. This highly destructive form of periodontitis often occurs in young people and was called early-onset periodontitis, but this disease also appears in old people.",['C07.465.714.533.161']
alcoholic hepatitis,68008108.0,"Liver Diseases, Alcoholic","Liver diseases associated with ALCOHOLISM. It usually refers to the coexistence of two or more subentities, i.e., ALCOHOLIC FATTY LIVER; ALCOHOLIC HEPATITIS; and ALCOHOLIC CIRRHOSIS.","['C06.552.645', 'C25.775.100.087.645']"
alcoholism,68063647.0,Fetal Alcohol Spectrum Disorders,"An umbrella term used to describe a pattern of disabilities and abnormalities that result from fetal exposure to ETHANOL during pregnancy. It encompasses a phenotypic range that can vary greatly between individuals, but reliably includes one or more of the following: characteristic facial dysmorphism, FETAL GROWTH RETARDATION, central nervous system abnormalities, cognitive and/or behavioral dysfunction, BIRTH DEFECTS. The level of maternal alcohol consumption does not necessarily correlate directly with disease severity.","['C12.050.703.277.220', 'C16.300.070', 'C25.775.100.087.323']"
allergic asthma,67564133.0,"Ige Responsiveness, Atopic [Supplementary Concept]","Heading Mapped to: Respiratory Hypersensitivity Entry Terms: Immunoglobulin E, Basic Level of, in Serum Ige Response Underlying Allergic Asthma and Rhinitis",[]
allergy,68063729.0,Sublingual Immunotherapy,"A method of treating an ALLERGY by administering ALLERGENS, in liquid formulation or tablets, to the ORAL MUCOSA under the tongue.","['E02.095.465.425.450.310.500', 'E05.478.610.310.500']"
alzheimer's disease,68016900.0,Neurofilament Proteins,"Type III intermediate filament proteins that assemble into neurofilaments, the major cytoskeletal element in nerve axons and dendrites. They consist of three distinct polypeptides, the neurofilament triplet. Types I, II, and IV intermediate filament proteins form other cytoskeletal elements such as keratins and lamins. It appears that the metabolism of neurofilaments is disturbed in Alzheimer's disease, as indicated by the presence of neurofilament epitopes in the neurofibrillary tangles, as well as by the severe reduction of the expression of the gene for the light neurofilament subunit of the neurofilament triplet in brains of Alzheimer's patients. (Can J Neurol Sci 1990 Aug;17(3):302)","['D05.750.078.593.630', 'D12.776.220.475.630', 'D12.776.631.630']"
amyotrophic lateral sclerosis,68057177.0,TDP-43 Proteinopathies,"Diseases characterized by the presence of abnormally phosphorylated, ubiquitinated, and cleaved DNA-binding protein TDP-43 in affected brain and spinal cord. Inclusions of the pathologic protein in neurons and glia, without the presence of AMYLOID, is the major feature of these conditions, thus making these proteinopathies distinct from most other neurogenerative disorders in which protein misfolding leads to brain amyloidosis. Both frontotemporal lobar degeneration and AMYOTROPHIC LATERAL SCLEROSIS exhibit this common method of pathogenesis and thus they may represent two extremes of a continuous clinicopathological spectrum of one disease.","['C10.574.950', 'C18.452.845.800']"
