query_name,taxid,scientific_name,rank,lineage,synonyms
Abiotrophia,46123.0,Abiotrophia,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Aerococcaceae,
Acetanaerobacterium elongatum,258515.0,Acetanaerobacterium elongatum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Acetanaerobacterium,
Acetivibrio,35829.0,Acetivibrio,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Acetivibrionales; Acetivibrionaceae,Hungateiclostridium
Acholeplasma,2147.0,Acholeplasma,genus,cellular organisms; Bacteria; Bacillati; Mycoplasmatota; Mollicutes; Acholeplasmatales; Acholeplasmataceae,Sapromyces
Achromobacter,222.0,Achromobacter,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae,
Acidaminobacter,65402.0,Acidaminobacter,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Peptostreptococcales; Acidaminobacteraceae,
Acidaminococcus,904.0,Acidaminococcus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Negativicutes; Acidaminococcales; Acidaminococcaceae,
Acidaminococcus fermentans,905.0,Acidaminococcus fermentans,species,cellular organisms; Bacteria; Bacillati; Bacillota; Negativicutes; Acidaminococcales; Acidaminococcaceae; Acidaminococcus,
Acidiphilium,522.0,Acidiphilium,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Acetobacterales; Acidocellaceae,
Acidobacteria,57723.0,Acidobacteriota,phylum,cellular organisms; Bacteria; Pseudomonadati,Acidobacteria; Acidobacteriota corrig. Thrash and Coates 2021; Acidobacterium group
Acidobacteriaceae,204434.0,Acidobacteriaceae,family,cellular organisms; Bacteria; Pseudomonadati; Acidobacteriota; Terriglobia; Terriglobales,Acidobacteriaceae Thrash and Coates 2012
Acidocella,50709.0,Acidocella,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Acetobacterales; Acidocellaceae,
Acidovorax,12916.0,Acidovorax,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae,
Acinetobacter,469.0,Acinetobacter,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae,
Actinobacillus,713.0,Actinobacillus,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae,
Actinobacillus pleuropneumoniae,715.0,Actinobacillus pleuropneumoniae,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Actinobacillus,Haemophilus pleuropneumoniae; Haemophilus pleuropneumoniae corrig.
Actinobacteria,201174.0,Actinomycetota,phylum,cellular organisms; Bacteria; Bacillati,Actinobacteraeota; Actinobacteria; Actinobacteriota
Actinobaculum,76833.0,Actinobaculum,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae,
Actinobaculum schaalii,59505.0,Actinotignum schaalii,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinotignum,Actinobaculum schaalii
Actinomyces,1654.0,Actinomyces,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae,Actinocladothrix; Discomyces
Actinomyces gerencseriae,52769.0,Actinomyces gerencseriae,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces,Actinomyces israelii serovar II
Actinomyces graevenitzii,55565.0,Actinomyces graevenitzii,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces,
Actinomyces massiliensis,461393.0,Actinomyces massiliensis,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces,
Actinomyces naeslundii,1655.0,Actinomyces naeslundii,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces,
Actinomyces neuii,,Actinomyces neuii,Unknown,Unknown,
Actinomyces odontolyticus,1660.0,Schaalia odontolytica,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Schaalia,Actinomyces odontolyticus
Actinomyces oris,544580.0,Actinomyces oris,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces,Actinomyces naeslundii genospecies 2
Actinomyces urogenitalis,103621.0,Actinomyces urogenitalis,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces,
Actinomyces viscosus,1656.0,Actinomyces viscosus,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces,Odontomyces viscosus
Actinomycetaceae,2049.0,Actinomycetaceae,family,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales,
Actinomycetales,2037.0,Actinomycetales,order,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes,
Adlercreutzia,447020.0,Adlercreutzia,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Eggerthellales; Eggerthellaceae,Adlercreutzia Maruo et al. 2008
Adlercreutzia equolifaciens,446660.0,Adlercreutzia equolifaciens,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Eggerthellales; Eggerthellaceae; Adlercreutzia,
Aeribacillus,1055323.0,Aeribacillus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae,
Aerococcus,1375.0,Aerococcus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Aerococcaceae,
Aerococcus christensenii,87541.0,Aerococcus christensenii,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus,
Aerococcus urinae,1376.0,Aerococcus urinae,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus,
Aeromicrobium,2040.0,Aeromicrobium,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae,
Aeromonas,642.0,Aeromonas,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Aeromonadales; Aeromonadaceae,
Aestuariimicrobium,396388.0,Aestuariimicrobium,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae,
Afipia,1033.0,Afipia,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae,Afipia Brenner et al. 1992; Oligotropha
Aggregatibacter,416916.0,Aggregatibacter,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae,
Aggregatibacter actinomycetemcomitans,714.0,Aggregatibacter actinomycetemcomitans,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Aggregatibacter,Actinobacillus (Haemophilus) actinomycetemcomitans; Actinobacillus actinomycetemcomitans; Bacterium acetinomycetum comitans; Bacterium actinomycetem comitans; Bacterium comitans
Aggregatibacter aphrophilus,732.0,Aggregatibacter aphrophilus,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Aggregatibacter,Haemophilus aphrophilus; Haemophilus paraphrophilus
Agrobacterium,357.0,Agrobacterium,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group,Polymonas
Akkermansia,239934.0,Akkermansia,genus,cellular organisms; Bacteria; Pseudomonadati; PVC group; Verrucomicrobiota; Verrucomicrobiia; Verrucomicrobiales; Akkermansiaceae,
Akkermansia muciniphila,239935.0,Akkermansia muciniphila,species,cellular organisms; Bacteria; Pseudomonadati; PVC group; Verrucomicrobiota; Verrucomicrobiia; Verrucomicrobiales; Akkermansiaceae; Akkermansia,
Akkermansiaceae,1647988.0,Akkermansiaceae,family,cellular organisms; Bacteria; Pseudomonadati; PVC group; Verrucomicrobiota; Verrucomicrobiia; Verrucomicrobiales,
Alcaligenaceae,506.0,Alcaligenaceae,family,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales,
Alicycliphilus,201096.0,Alicycliphilus,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae,
Alicyclobacillus,29330.0,Alicyclobacillus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Alicyclobacillaceae,
Alistipes,239759.0,Alistipes,genus,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae,
Alistipes finegoldii,214856.0,Alistipes finegoldii,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,
Alistipes ihumii,1470347.0,Alistipes ihumii,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,Candidatus Alistipes marseilloanorexicus
Alistipes indistinctus,626932.0,Alistipes indistinctus,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,
Alistipes obesi,2585118.0,Alistipes communis,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,Alistipes obesi
Alistipes onderdonkii,328813.0,Alistipes onderdonkii,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,
Alistipes putredinis,28117.0,Alistipes putredinis,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,Alistipes putredinis (Weinberg et al. 1937) Rautio et al. 2003; Bacteroides putredinis (Weinberg et al. 1937) Kelly 1957 (Approved Lists 1980); Pseudobacterium putredinis; Ristella putredinis
Alistipes shahii,328814.0,Alistipes shahii,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,
Allisonella,39948.0,Dialister,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Negativicutes; Veillonellales; Veillonellaceae,Allisonella; Allisonella Garner et al. 2003
Allisonella histaminiformans,,Allisonella histaminiformans,Unknown,Unknown,
Allobaculum,174708.0,Allobaculum,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae,
Alloiococcus,1651.0,Alloiococcus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae,
Alloprevotella,1283313.0,Alloprevotella,genus,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae,
Alloprevotella rava,671218.0,Alloprevotella rava,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Alloprevotella,Prevotella sp. oral taxon 302
Alloscardovia,419014.0,Alloscardovia,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae,Metascardovia
Alloscardovia omnicolens,419015.0,Alloscardovia omnicolens,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae; Alloscardovia,
Alphaproteobacteria,28211.0,Alphaproteobacteria,class,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota,"Alphabacteria; Proteobacteria alpha subdivision; Purple bacteria, alpha subdivision; alpha proteobacteria; alpha subdivision"
Alternaria,5598.0,Alternaria,genus,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Pleosporaceae,Macrospora; Macrosporium; Ulocladium
Alternaria brassicicola,29001.0,Alternaria brassicicola,species,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Pleosporaceae; Alternaria; Alternaria sect. Brassicicola,Helminthosporium brassicicola
Amaricoccus,56999.0,Amaricoccus,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae,
Aminobacterium,81466.0,Aminobacterium,genus,cellular organisms; Bacteria; Thermotogati; Synergistota; Synergistia; Synergistales; Aminobacteriaceae,
Ammoniphilus,66862.0,Ammoniphilus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Aneurinibacillus group,
Anabaena,1163.0,Anabaena,genus,cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae,
Anaerococcus,165779.0,Anaerococcus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae,
Anaerococcus lactolyticus,33032.0,Anaerococcus lactolyticus,species,cellular organisms; Bacteria; Bacillati; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus,Peptostreptococcus lactolyticus
