query_name,mesh_id,mesh_name,description,tree_numbers
colon cancer,68055847.0,Lynch Syndrome II,"Hereditary nonpolyposis colorectal neoplasms associated with other malignancies, more commonly of ovarian or uterine origin. When also associated with SEBACEOUS GLAND NEOPLASMS, it is called MUIR-TORRE SYNDROME.","['C04.700.250.500', 'C16.320.700.250.500']"
periodontal,68057747.0,Periodontal Debridement,"Removal or disruption of DENTAL DEPOSITS and plaque-retentive DENTAL CALCULUS from tooth surfaces and within the periodontal pocket space without deliberate removal of CEMENTUM as done in ROOT PLANING and often in DENTAL SCALING. The goal is to conserve dental cementum to help maintain or re-establish healthy periodontal environment and eliminate PERIODONTITIS by using light instrumentation strokes and nonsurgical techniques (e.g., ultrasonic, laser instruments).",['E06.721.189.675']
gastric and duodenal ulcer,68010115.0,Oxyphenonium,"A quaternary ammonium anticholinergic agent with peripheral side effects similar to those of ATROPINE. It is used as an adjunct in the treatment of gastric and duodenal ulcer, and to relieve visceral spasms. The drug has also been used in the form of eye drops for mydriatic effect.","['D02.092.877.648', 'D02.675.276.648']"
gastro-oesophageal reflux,68005764.0,Gastroesophageal Reflux,"Retrograde flow of gastric juice (GASTRIC ACID) and/or duodenal contents (BILE ACIDS; PANCREATIC JUICE) into the distal ESOPHAGUS, commonly due to incompetence of the LOWER ESOPHAGEAL SPHINCTER.",['C06.405.117.119.500.484']
guttate psoriasis,2108145.0,Guttate Psoriasis,"A skin condition, typically emerges suddenly and frequently occurs after an infection such as STREPTOCOCCAL INFECTION. While prevalent among children, it can also manifest in young adults. Its defining feature is the eruption of small, red, scaly patches that typically appear on the arms, legs, and torso.",['C17.800.859.675.587']
atopy,67116241.0,"MICU1 protein, human [Supplementary Concept]","RefSeq NM_006077 Heading Mapped to: Calcium-Binding Proteins Cation Transport Proteins Mitochondrial Membrane Transport Proteins Entry Terms: Hom s 1 allergen Hom s 4 protein, human allergen Hom s 1 calcium binding atopy-related autoantigen 1, human mitochondrial calcium uptake 1 protein, human CBARA1 protein, human Previous Indexing: ALLERGENS (2003-2010)",[]
diarrhea irritable bowel syndrome(ibs),,Diarrhea Irritable bowel syndrome(IBS),Medical condition: Diarrhea Irritable bowel syndrome(IBS),[]
irritable bowel syndrome(ibs),68043183.0,Irritable Bowel Syndrome,"A disorder with chronic or recurrent colonic symptoms without a clearcut etiology. This condition is characterized by chronic or recurrent ABDOMINAL PAIN, bloating, MUCUS in FECES, and an erratic disturbance of DEFECATION.",['C06.405.469.158.272.608']
constipation irritable bowel syndrome(ibs),,Constipation Irritable bowel syndrome(IBS),Medical condition: Constipation Irritable bowel syndrome(IBS),[]
obesity,82019440.0,Anti-Obesity Agents [Pharmacological Action],No description available.,['D019440']
ileal crohn's disease(cd),,Ileal Crohn's disease(CD),Medical condition: Ileal Crohn's disease(CD),[]
bacterial vaginosis,68017904.0,Mobiluncus,"A genus of gram-negative, anaerobic, rod-shaped bacteria. Its organisms are found in the human vagina, particularly in association with Gardnerella vaginalis in cases of bacterial vaginosis.","['B03.510.024.049.050.525', 'B03.510.460.400.400.049.049.589']"
infectious colitis,,Infectious colitis,Medical condition: Infectious colitis,[]
ulcerative colitis,68017511.0,Pyoderma Gangrenosum,"An idiopathic, rapidly evolving, and severely debilitating disease occurring most commonly in association with chronic ulcerative colitis. It is characterized by the presence of boggy, purplish ulcers with undermined borders, appearing mostly on the legs. The majority of cases are in people between 40 and 60 years old. Its etiology is unknown.","['C17.800.695.675', 'C17.800.862.675', 'C17.800.893.675']"
crohn's disease(cd),68003424.0,Crohn Disease,"A chronic transmural inflammation that may involve any part of the DIGESTIVE TRACT from MOUTH to ANUS, mostly found in the ILEUM, the CECUM, and the COLON. In Crohn disease, the inflammation, extending through the intestinal wall from the MUCOSA to the serosa, is characteristically asymmetric and segmental. Epithelioid GRANULOMAS may be seen in some patients.","['C06.405.205.731.500', 'C06.405.469.432.500']"
allergic sensitization,68017449.0,"Dermatitis, Allergic Contact",A contact dermatitis due to allergic sensitization to various substances. These substances subsequently produce inflammatory reactions in the skin of those who have acquired hypersensitivity to them as a result of prior exposure.,"['C17.800.174.255.100', 'C17.800.815.255.100', 'C20.543.418.150']"
atopic dermatitis,68056770.0,Netherton Syndrome,"Rare autosomal recessive disease with variable expressions. Clinical features of the disease include variable ICHTHYOSIFORM ERYTHRODERMA, CONGENITAL; bamboo hair (trichorrhexis invaginata); and ATOPIC DERMATITIS. The disease is caused by mutations in the SPINK5 gene.","['C16.131.077.619', 'C16.131.831.512.400.705', 'C16.320.850.673', 'C16.614.492.400.705', 'C17.800.428.333.250.705', 'C17.800.804.512.400.705', 'C17.800.827.655']"
atopic sensitisation,68063607.0,Dander,"Microscopic particles comprising dead skin, dried salivary proteins, hair, SEBUM and microorganisms, shed by animals which causes allergic reactions in atopic persons.",['A12.200.250']
eczema,68017443.0,"Skin Diseases, Eczematous","Any of a variety of eruptive skin disorders characterized by erythema, oozing, vesiculation, and scaling. Etiology is varied.",['C17.800.815']
recurrent wheeze,,Recurrent wheeze,Medical condition: Recurrent wheeze,[]
allergy,68063729.0,Sublingual Immunotherapy,"A method of treating an ALLERGY by administering ALLERGENS, in liquid formulation or tablets, to the ORAL MUCOSA under the tongue.","['E02.095.465.425.450.310.500', 'E05.478.610.310.500']"
