,Colon cancer,Periodontal,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Atopy,Diarrhea Irritable bowel syndrome(IBS),Irritable bowel syndrome(IBS),Constipation Irritable bowel syndrome(IBS),Obesity,Ileal Crohn's disease(CD),Bacterial Vaginosis,Infectious colitis,Ulcerative colitis,Crohn's disease(CD),Allergic sensitization,Atopic dermatitis,Atopic sensitisation,Eczema,Recurrent wheeze,Allergy,Asthma,Inflammatory bowel disease(IBD),Cystic fibrosis,Rheumatoid arthrits,Psoriasis,Necrotizing Enterocolitis,Systemic inflammatory response syndrome,COPD,Type 2 diabetes,Type 1 diabetes,Colorectal carcinoma,Kidney stones,Whipple's disease,Liver cirrhosis,Allergic asthma,Clostridium difficile infection(CDI),Skin and mucosal infections,New-onset untreated rheumatoid arthrits
Colon cancer,1.0,0.2176560128699107,0.4388096126366773,0.45537809165623416,0.4388096126366773,0.44535763760929,0.420475243375842,0.03924352155689387,0.4388096126366773,0.24758397710711372,0.24320964404311396,0.06217045750574872,0.4344352795726775,0.3675271230430829,0.15464686797150823,0.4388096126366773,0.30830147501223815,0.429439461795972,0.41045478932889784,0.42803983056040107,0.429439461795972,0.22855616370884288,0.37844948107969534,0.2609885314333309,0.36456168567972164,0.27488246256510573,0.15990292094285058,0.42006395000169716,0.2639601045284933,0.203768217469937,0.009011058102167251,0.5936458917083336,0.44535763760929,0.44535763760929,0.020507749326909512,0.429439461795972,0.1907339793698923,0.4676774816474142,0.4314698422093163
Periodontal,0.2176560128699107,1.0,0.2794633799677955,0.43830286310983957,0.2794633799677955,0.5124233851276616,0.4223031876464336,0.2000456911327415,0.352351080408972,0.14078300881655875,0.26203690732722523,0.10074549157795969,0.32981045330122954,0.29913935214271253,0.22208917006546722,0.2794633799677955,0.20247042074824176,0.25326886490864603,0.22001824285815397,0.24936960401594155,0.25326886490864603,0.22300226004200574,0.3555397420485501,0.16989839136682044,0.25893154067403157,0.24140094393686126,0.30285526866338736,0.1869849117113937,0.23654417549502604,0.11560790932645419,0.024929255416045577,0.1869849117113937,0.297862063862651,0.3862108432070671,0.16194338564959038,0.25326886490864603,0.21809631232537385,0.21244231419556647,0.25893154067403157
Gastric and duodenal ulcer,0.4388096126366773,0.2794633799677955,1.0,0.6133660445327785,0.6314280053807764,0.5071650047071748,0.49889183743456167,0.09877283622396185,0.4898176938380913,0.25777496851093007,0.2870271949969588,0.10598800845959352,0.47825283052652234,0.4113446739969277,0.20565494917292226,0.6314280053807764,0.44928583459427873,0.5561691679875789,0.4212407661179595,0.46137875187969446,0.5446395021037904,0.31934251879390707,0.44025684817758015,0.2742999435293914,0.40351546767170754,0.5137028164487045,0.23831951500157023,0.37190145610708264,0.3077776554823381,0.21331318592126006,0.01838120894287255,0.26833443759249304,0.5071650047071748,0.5071650047071748,0.07151583052832355,0.5446395021037904,0.2345515303237371,0.4140977557601015,0.4704236242013022
Gastro-oesophageal reflux,0.45537809165623416,0.43830286310983957,0.6133660445327785,1.0,0.5337946857149538,0.6660044878492188,0.6881313989025726,0.25761231936600587,0.6290602693559443,0.275883141636697,0.41329506943364624,0.14819557979991804,0.6045207049632098,0.5376125484336152,0.3448975246907752,0.5337946857149538,0.38828704082706167,0.5053058780477468,0.4404719869049117,0.5010742929847608,0.5848772368655715,0.36331951067076956,0.5990963313196243,0.29836066758781543,0.44454725149454516,0.3833942230027316,0.4275590764695812,0.3884699351266395,0.3499852268226626,0.23020862631889905,0.03494968796242945,0.2849029166120499,0.5538693980469158,0.6660044878492188,0.21075840604617652,0.5848772368655715,0.3608194047604246,0.43220592888586845,0.5114554080241398
Guttate psoriasis,0.4388096126366773,0.2794633799677955,0.6314280053807764,0.5337946857149538,1.0,0.5071650047071748,0.49889183743456167,0.09877283622396185,0.4898176938380913,0.30115449316373594,0.2870271949969588,0.10598800845959352,0.47825283052652234,0.4113446739969277,0.20565494917292226,0.6314280053807764,0.5055460452617622,0.5561691679875789,0.4212407661179595,0.46137875187969446,0.4650681432859658,0.2795642449102569,0.44025684817758015,0.3140782174130416,0.40351546767170754,0.662453225512329,0.23831951500157023,0.37190145610708264,0.3077776554823381,0.21331318592126006,0.01838120894287255,0.26833443759249304,0.5071650047071748,0.5071650047071748,0.07151583052832355,0.4650681432859658,0.2345515303237371,0.4140977557601015,0.4704236242013022
Atopy,0.44535763760929,0.5124233851276616,0.5071650047071748,0.6660044878492188,0.5071650047071748,1.0,0.6311016395688267,0.2055202994632334,0.5800527051483513,0.2649179788687881,0.36628644251104525,0.12265207932599353,0.5575120780406089,0.4906039215110142,0.2958899604831823,0.5071650047071748,0.3634647982163327,0.4809704896480253,0.428816694780547,0.4770712287553208,0.4809704896480253,0.2969115557793404,0.5470043114168517,0.28372801206454046,0.41972500888381614,0.3550885135578461,0.37052931713583526,0.37844948107969534,0.3244417263487381,0.2564636921007676,0.024929278863118454,0.32218927041221185,0.5255636886020303,0.6139124679464464,0.16175084183858354,0.4809704896480253,0.31381077783782363,0.4212407661179595,0.48663316541341084
Diarrhea Irritable bowel syndrome(IBS),0.420475243375842,0.4223031876464336,0.49889183743456167,0.6881313989025726,0.49889183743456167,0.6311016395688267,1.0,0.2566130839683848,0.5941574210755521,0.25685532823842616,0.3942672560353754,0.14419714984886411,0.5696178566828176,0.5082642342817894,0.3335850986425607,0.49889183743456167,0.3636092971473821,0.4704030297673547,0.4084666786557092,0.46617144470436866,0.4704030297673547,0.30609306097557454,0.5697480171677984,0.28091249177627053,0.47655255974374766,0.3626437625173523,0.4171857774250212,0.3591216209748137,0.32923476633728327,0.2142089508554931,0.034949709462989774,0.2641524561266706,0.5189665497665237,0.6311016395688267,0.2105818467014135,0.4704030297673547,0.3461479790653135,0.40020062063666595,0.47655255974374766
Irritable bowel syndrome(IBS),0.03924352155689387,0.2000456911327415,0.09877283622396185,0.25761231936600587,0.09877283622396185,0.2055202994632334,0.2566130839683848,1.0,0.2780638754404927,0.04499571457819261,0.23754235508504176,0.07586714460888969,0.2408196429134797,0.2408196429134797,0.26926694175082905,0.09877283622396185,0.07471480355532495,0.07257832116481237,0.05432813918010512,0.06867906027210786,0.07257832116481237,0.09685731924790167,0.3340108938146447,0.08070875015481489,0.07824099693019786,0.11364532674394445,0.254086125991133,0.036965469126077025,0.08652473290970938,0.03654142781017211,0.02492904218902026,0.03504995215001684,0.11717152011881736,0.33173284138382786,0.1604438390741473,0.07257832116481237,0.23854159048266288,0.04675221051751762,0.07824099693019786
Constipation Irritable bowel syndrome(IBS),0.4388096126366773,0.352351080408972,0.4898176938380913,0.6290602693559443,0.4898176938380913,0.5800527051483513,0.5941574210755521,0.2780638754404927,1.0,0.25777496851093007,0.40503574467929976,0.10598800845959352,0.5962613802088633,0.5293532236792686,0.34726526071560726,0.4898176938380913,0.34725525700422405,0.4650681432859658,0.4212407661179595,0.46137875187969446,0.4650681432859658,0.2795642449102569,0.6172698349632941,0.2742999435293914,0.40351546767170754,0.33668982966299055,0.35723409982917687,0.37190145610708264,0.3077776554823381,0.21331318592126006,0.018381253890505753,0.26833443759249304,0.5071650047071748,0.6841779914928888,0.13022847802227322,0.4650681432859658,0.3525600800060781,0.4140977557601015,0.4704236242013022
Obesity,0.24758397710711372,0.14078300881655875,0.25777496851093007,0.275883141636697,0.30115449316373594,0.2649179788687881,0.25685532823842616,0.04499571457819261,0.25777496851093007,1.0,0.14876343078705231,0.055036699882651,0.25301296597087236,0.21653697676105665,0.11691918573661664,0.25777496851093007,0.21331318592126006,0.24758397710711372,0.24589016547051729,0.24606481593982554,0.24758397710711372,0.16483785937532458,0.2284419896589724,0.2003906477920568,0.21331318592126006,0.19777088850045538,0.14302570754070618,0.211107987897298,0.18586587560253964,0.19859745467453474,0.04463968521957522,0.211107987897298,0.2649179788687881,0.2649179788687881,0.029950847256460977,0.24758397710711372,0.16007585683526687,0.23874715511265923,0.24978917513107576
