query_name,taxid,scientific_name,rank,lineage,synonyms
Collinsella aerofaciens,74426.0,Collinsella aerofaciens,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Coriobacteriales; Coriobacteriaceae; Collinsella,Bacteroides aerofaciens; Collinsella aerofaciens (Eggerth 1935) Kageyama et al. 1999; Eubacterium aerofaciens; Pseudobacterium aerofaciens
Fusobacterium,848.0,Fusobacterium,genus,cellular organisms; Bacteria; Fusobacteriati; Fusobacteriota; Fusobacteriia; Fusobacteriales; Fusobacteriaceae,
Porphyromonas gingivalis,837.0,Porphyromonas gingivalis,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas,Bacteroides gingivalis
Prevotella,838.0,Prevotella,genus,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae,
Treponema,157.0,Treponema,genus,cellular organisms; Bacteria; Pseudomonadati; Spirochaetota; Spirochaetia; Spirochaetales; Treponemataceae,"""Spironema"" Vuillemin 1905; Microspironema"
Helicobacter pylori,210.0,Helicobacter pylori,species,cellular organisms; Bacteria; Pseudomonadati; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter,Campylobacter pylori; Campylobacter pylori subsp. pylori; Campylobacter pyloridis; Helicobacter nemestrinae
Staphylococcus aureus,1280.0,Staphylococcus aureus,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,Micrococcus aureus; Micrococcus pyogenes; Staphlococcus pyogenes citreus; Staphylococcus aureus subsp. anaerobius; Staphylococcus pyogenes aureus
Clostridia,186801.0,Clostridia,class,cellular organisms; Bacteria; Bacillati; Bacillota,
Bifidobacterium,1678.0,Bifidobacterium,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae,Bifidibacterium; Tissieria
Bifidobacterium catenulatum,1686.0,Bifidobacterium catenulatum,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium,
Clostridium coccoides,33035.0,Blautia producta,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Blautia,Blautia coccoides; Blautia producta (Pre?vot 1941) Liu et al. 2008; Blautia producta subsp. coccoides; Clostridium coccoides; Peptostreptococcus productus (Pre?vot 1941) Smith 1957 (Approved Lists 1980)
Desulfovibrio,872.0,Desulfovibrio,genus,cellular organisms; Bacteria; Pseudomonadati; Thermodesulfobacteriota; Desulfovibrionia; Desulfovibrionales; Desulfovibrionaceae,Desulfomonas; Sporovibrio
Ruminococcus productus,33035.0,Blautia producta,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Blautia,Blautia coccoides; Blautia producta (Pre?vot 1941) Liu et al. 2008; Blautia producta subsp. coccoides; Clostridium coccoides; Peptostreptococcus productus (Pre?vot 1941) Smith 1957 (Approved Lists 1980)
Veillonella,29465.0,Veillonella,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Negativicutes; Veillonellales; Veillonellaceae,
Bacteroidetes,200643.0,Bacteroidia,class,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota,Bacteroidetes
Firmicutes,1783272.0,Bacillati,kingdom,cellular organisms; Bacteria,Firmacutes; Firmicuteota; Firmicutes; Firmicutes corrig. Gibbons and Murray 1978 (Approved Lists 1980); Terrabacteria
Bacteroides fragilis,817.0,Bacteroides fragilis,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,Bacteroides fragilis (Veillon and Zuber 1898) Castellani and Chalmers 1919 (Approved Lists 1980); Bacteroides inaequalis; Bacteroides incommunis; Bacteroides uncatus; Fusiformis fragilis
Clostridium leptum,1535.0,[Clostridium] leptum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Oscillospiraceae incertae sedis,Clostridium leptum
Atopobium,1380.0,Atopobium,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Coriobacteriales; Atopobiaceae,
Atopobium vaginae,82135.0,Fannyhessea vaginae,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Coriobacteriales; Atopobiaceae; Fannyhessea,Atopobium vaginae
Clostridiales,186802.0,Eubacteriales,order,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia,Clostridiales
Eggerthella,84111.0,Eggerthella,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Eggerthellales; Eggerthellaceae,Eggerthella Wade et al. 2009
Gardnerella vaginalis,2702.0,Gardnerella vaginalis,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae; Gardnerella,Corynebacterium vaginale; Haemophilus hemolyticus vaginalis; Haemophilus vaginalis
Lactobacillus  crispatus,47770.0,Lactobacillus crispatus,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus,Eubacterium crispatum; Lactobacillus crispatus (Brygoo and Aladame 1953) Moore and Holdeman 1970 (Approved Lists)
Leptotrichia,32067.0,Leptotrichia,genus,cellular organisms; Bacteria; Fusobacteriati; Fusobacteriota; Fusobacteriia; Fusobacteriales; Leptotrichiaceae,
Megasphaera,906.0,Megasphaera,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Negativicutes; Veillonellales; Veillonellaceae,Anaeroglobus; Colibacter
Bacteroides,816.0,Bacteroides,genus,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae,Capsularis; Ristella
Clostridium difficile,,Clostridium difficile,Unknown,Unknown,
Escherichia coli,562.0,Escherichia coli,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,Bacillus coli; Bacterium coli; Bacterium coli commune; Enterococcus coli
Clostridium cocleatum,69824.0,Thomasclavelia cocleata,species,cellular organisms; Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Thomasclavelia,Clostridium cocleatum
Coprococcus,33042.0,Coprococcus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae,
Actinobacteria,201174.0,Actinomycetota,phylum,cellular organisms; Bacteria; Bacillati,Actinobacteraeota; Actinobacteria; Actinobacteriota
Lachnospiraceae,186803.0,Lachnospiraceae,family,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales,
Proteobacteria,1224.0,Pseudomonadota,phylum,cellular organisms; Bacteria; Pseudomonadati,"""Alphaproteobacteriota"" Whitman et al. 2018; Alphaproteobacteriota; Proteobacteria; Proteobacteriota"
Dietzia maris,37915.0,Dietzia maris,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Dietziaceae; Dietzia,"""Flavobacterium maris"" Harrison 1929; Brevibacterium maris; Rhodococcus maris"
Stenotrophomonas maltophilia,40324.0,Stenotrophomonas maltophilia,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Stenotrophomonas; Stenotrophomonas maltophilia group,Pseudomonas maltophilia (ex Hugh and Ryschenkow 1961) Hugh 1981; Xanthomonas maltiphilia; Xanthomonas maltophilia; Xanthomonas maltophilia (Hugh 1981) Swings et al. 1983
Coxiellaceae,118968.0,Coxiellaceae,family,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Legionellales,Coxiella group
Lysobacter,68.0,Lysobacter,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae,
Rickettsiales,766.0,Rickettsiales,order,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria,
Streptococcus mitis,28037.0,Streptococcus mitis,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus mitis group,
Bacteroides ovatus,28116.0,Bacteroides ovatus,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,Bacteroides fragilis subsp. ovatus; Bacteroides koreensis; Bacteroides kribbi; Pasteurella ovata; Pseudobacterium ovatum
Bacteroides uniformis,820.0,Bacteroides uniformis,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,
Bacteroides vulgatus,,Bacteroides vulgatus,Unknown,Unknown,
Betaproteobacteria,28216.0,Betaproteobacteria,class,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota,"Proteobacteria beta subdivision; Purple bacteria, beta subdivision; beta proteobacteria; beta subdivision; beta subgroup"
