,Allergic asthma,Allergic sensitization,Allergy,Asthma,Atopic dermatitis,Atopic sensitisation,Atopy,Bacterial Vaginosis,COPD,Clostridium difficile infection(CDI),Colon cancer,Colorectal carcinoma,Constipation Irritable bowel syndrome(IBS),Crohn's disease(CD),Cystic fibrosis,Diarrhea Irritable bowel syndrome(IBS),Eczema,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Ileal Crohn's disease(CD),Infectious colitis,Inflammatory bowel disease(IBD),Irritable bowel syndrome(IBS),Kidney stones,Liver cirrhosis,Necrotizing Enterocolitis,New-onset untreated rheumatoid arthrits,Obesity,Periodontal,Psoriasis,Recurrent wheeze,Rheumatoid arthrits,Skin and mucosal infections,Systemic inflammatory response syndrome,Type 1 diabetes,Type 2 diabetes,Ulcerative colitis,Whipple's disease
Allergic asthma,1,0.4650681432859658,0.521883421490649,0.571614451518115,0.3240746193367252,0.4423120626728243,0.4809704896480253,0.0821799409207518,0.3533902446894256,0.2107434627848954,0.429439461795972,0.2589642867517877,0.4650681432859658,0.1809053986207967,0.2609885314333309,0.4704030297673547,0.4104547893288978,0.5446395021037904,0.5848772368655715,0.4650681432859658,0.263219127458117,0.4544447629876806,0.4140623331184306,0.0725783211648123,0.4809704896480253,0.046766279976198,0.2098307073343632,0.4472429865338033,0.2475839771071137,0.253268864908646,0.310495314603841,0.6183160068437208,0.3803348300042087,0.4039067643562851,0.3625313052663773,0.0090110581021672,0.203768217469937,0.3875366064580859,0.4809704896480253
Allergic sensitization,0.4650681432859658,1,0.4650681432859658,0.2795642449102569,0.5055460452617622,0.6357405268054035,0.5071650047071748,0.1059880084595935,0.3077776554823381,0.2345515303237371,0.4388096126366773,0.268334437592493,0.4898176938380913,0.2056549491729222,0.2742999435293914,0.4988918374345616,0.4942063260147735,0.6314280053807764,0.5337946857149538,0.6314280053807764,0.2870271949969588,0.4782528305265223,0.4402568481775801,0.0987728362239618,0.5071650047071748,0.0715158305283235,0.2383195150015702,0.4704236242013022,0.25777496851093,0.2794633799677955,0.5137028164487045,0.5409501106975192,0.4035154676717075,0.4140977557601015,0.3719014561070826,0.0183812089428725,0.21331318592126,0.4113446739969277,0.5071650047071748
Allergy,0.521883421490649,0.4650681432859658,1,0.2945929682417815,0.3240746193367252,0.4423120626728243,0.4809704896480253,0.0821799409207518,0.2839695879434963,0.2107434627848954,0.429439461795972,0.2589642867517877,0.4650681432859658,0.1809053986207967,0.2609885314333309,0.4704030297673547,0.4104547893288978,0.5446395021037904,0.5848772368655715,0.4650681432859658,0.263219127458117,0.4544447629876806,0.4140623331184306,0.0725783211648123,0.4809704896480253,0.046766279976198,0.2098307073343632,0.4472429865338033,0.2475839771071137,0.253268864908646,0.310495314603841,0.4389129582435808,0.3803348300042087,0.4039067643562851,0.3625313052663773,0.0090110581021672,0.203768217469937,0.3875366064580859,0.4809704896480253
Asthma,0.571614451518115,0.2795642449102569,0.2945929682417815,1,0.1985974546745347,0.2548146943581313,0.2969115557793404,0.0864585694770806,0.4257862051646791,0.1827776598131387,0.2285561637088428,0.195108312433892,0.2795642449102569,0.137509318957569,0.1691927868754328,0.3060930609755745,0.2284419896589724,0.319342518793907,0.3633195106707695,0.2795642449102569,0.1940900858613532,0.2679993815986879,0.2969115557793404,0.0968573192479016,0.2969115557793404,0.0715158305283235,0.2184340801331609,0.2601701752734677,0.1648378593753245,0.2230022600420057,0.2634637045043896,0.5052513543442114,0.2601701752734677,0.2212989793011143,0.195108312433892,0.0183812089428725,0.1568520659954702,0.2679993815986879,0.2969115557793404
Atopic dermatitis,0.3240746193367252,0.5055460452617622,0.3240746193367252,0.1985974546745347,1,0.7746560642930811,0.3634647982163327,0.0732249952265943,0.2158985428533021,0.1641246723427037,0.3083014750122381,0.187768542006531,0.347255257004224,0.1463405545757478,0.2638551485971594,0.3636092971473821,0.3514328569489107,0.4492858345942787,0.3882870408270616,0.5055460452617622,0.201227117158191,0.3364314758590092,0.3161579903692265,0.0747148035553249,0.3634647982163327,0.0514987021075306,0.1793739897202628,0.3290960373923565,0.21331318592126,0.2024704207482417,0.3780431391519231,0.3768738273593303,0.2817892295452504,0.2931686997838816,0.260994667165132,0.0110413689411486,0.1493747402729365,0.289124668011903,0.3634647982163327
Atopic sensitisation,0.4423120626728243,0.6357405268054035,0.4423120626728243,0.2548146943581313,0.7746560642930811,1,0.4809704896480253,0.0821799409207518,0.2839695879434963,0.2107434627848954,0.429439461795972,0.2589642867517877,0.4650681432859658,0.1809053986207967,0.2609885314333309,0.4704030297673547,0.4834203492257118,0.5561691679875789,0.5053058780477468,0.5561691679875789,0.263219127458117,0.4544447629876806,0.4140623331184306,0.0725783211648123,0.4809704896480253,0.046766279976198,0.2098307073343632,0.4472429865338033,0.2475839771071137,0.253268864908646,0.4340501073912896,0.5184843170614054,0.3803348300042087,0.4039067643562851,0.3625313052663773,0.0090110581021672,0.203768217469937,0.3875366064580859,0.4809704896480253
Atopy,0.4809704896480253,0.5071650047071748,0.4809704896480253,0.2969115557793404,0.3634647982163327,0.4809704896480253,1,0.1226520793259935,0.3244417263487381,0.3138107778378236,0.44535763760929,0.3221892704122118,0.5800527051483513,0.2958899604831823,0.2837280120645404,0.6311016395688267,0.428816694780547,0.5071650047071748,0.6660044878492188,0.5071650047071748,0.3662864425110452,0.5575120780406089,0.5470043114168517,0.2055202994632334,0.5255636886020303,0.1617508418385835,0.3705293171358352,0.4866331654134108,0.2649179788687881,0.5124233851276616,0.3550885135578461,0.4770712287553208,0.4197250088838161,0.4212407661179595,0.3784494810796953,0.0249292788631184,0.2564636921007676,0.4906039215110142,0.6139124679464464
Bacterial Vaginosis,0.0821799409207518,0.1059880084595935,0.0821799409207518,0.0864585694770806,0.0732249952265943,0.0821799409207518,0.1226520793259935,1,0.0872030345152748,0.0707815635263387,0.0621704575057487,0.0545055364400365,0.1059880084595935,0.0799027735541934,0.0865187346894446,0.1441971498488641,0.074837025721559,0.1059880084595935,0.148195579799918,0.1059880084595935,0.0779308760301309,0.094867955580987,0.1226520793259935,0.0758671446088896,0.1226520793259935,0.0584038039312992,0.120277440569172,0.0873350209891585,0.055036699882651,0.1007454915779596,0.1149871582602813,0.0786275367733593,0.0873350209891585,0.0679753494824531,0.0545055364400365,0.0140067153632927,0.0602947075828622,0.094867955580987,0.1226520793259935
COPD,0.3533902446894256,0.3077776554823381,0.2839695879434963,0.4257862051646791,0.2158985428533021,0.2839695879434963,0.3244417263487381,0.0872030345152748,1,0.1953066081211484,0.2639601045284933,0.2241818306448431,0.3077776554823381,0.1388370648112873,0.2346116955361011,0.3292347663372832,0.2598746422099782,0.3077776554823381,0.3499852268226626,0.3077776554823381,0.2087600517500195,0.2966576026037316,0.3244417263487381,0.0865247329097093,0.3244417263487381,0.0608321874162234,0.2050997962850539,0.289124668011903,0.1858658756025396,0.236544175495026,0.2512156011901371,0.3425880361595995,0.289124668011903,0.2530129659708723,0.2241818306448431,0.0140069742810388,0.2088563348614657,0.2966576026037316,0.3244417263487381
Clostridium difficile infection(CDI),0.2107434627848954,0.2345515303237371,0.2107434627848954,0.1827776598131387,0.1641246723427037,0.2107434627848954,0.3138107778378236,0.0707815635263387,0.1953066081211484,1,0.1907339793698923,0.16260911004591,0.3525600800060781,0.3431198538008966,0.1462315774350093,0.3461479790653135,0.1927275518416455,0.2345515303237371,0.3608194047604246,0.2345515303237371,0.3366951445560187,0.5132655604686766,0.5644255685027079,0.2385415904826628,0.2512156011901371,0.1089452421799747,0.2724392866593328,0.2158985428533021,0.1600758568352668,0.2180963123253738,0.2230907318661549,0.2071910586375029,0.1877736735293199,0.1858658756025396,0.16260911004591,0.014007203367672,0.1523952149356759,0.5132655604686766,0.4032324587630906
